episode,avg_speed
100,22.90372
200,22.84585
300,23.00097
400,22.81956
500,22.84367
600,22.9144
700,22.95924
800,22.94148
900,22.95892
1000,23.05317
1100,23.01589
1200,22.94092
1300,23.01067
1400,22.92429
1500,22.96531
1600,22.80869
1700,22.84288
1800,22.977
1900,22.88494
2000,22.87936
2100,22.85642
2200,22.70013
2300,22.86375
2400,22.96072
2500,22.89489
2600,22.94348
2700,22.87308
2800,22.79965
2900,22.84638
3000,22.81191
3100,22.82077
3200,22.81513
3300,22.92827
3400,22.94055
3500,22.81163
3600,22.85516
3700,22.89212
3800,22.95136
3900,22.9447
4000,22.82774
4100,22.79298
4200,22.93072
4300,22.94429
4400,22.7273
4500,22.60431
4600,22.66719
4700,22.74626
4800,22.69724
4900,22.32314
5000,22.44859
5100,22.45972
5200,22.30689
5300,22.31144
5400,22.85433
5500,22.84623
5600,22.7857
5700,22.96178
5800,22.94136
5900,22.82666
6000,22.47961
6100,22.51198
6200,22.49794
6300,22.453
6400,22.32114
6500,22.50063
6600,22.42641
6700,22.25486
6800,22.56857
6900,22.30186
7000,22.4182
7100,22.6508
7200,22.76679
7300,22.62358
7400,22.67443
7500,22.46875
7600,22.50396
7700,22.5067
7800,22.75436
7900,22.45037
8000,21.8914
8100,22.16396
8200,22.19414
8300,22.21147
8400,22.47662
8500,22.09952
8600,22.46588
8700,22.40951
8800,22.65146
8900,22.49461
9000,22.40547
9100,22.38953
9200,22.44288
9300,22.28363
9400,22.61437
9500,22.4122
9600,22.39944
9700,22.23594
9800,22.40951
9900,22.65146
10000,22.49461
10100,22.40547
10200,22.40951
10300,22.65146
10400,22.40951
10500,22.65146
10600,22.49461
10700,22.40547
10800,22.38953
10900,22.45276
11000,22.4606
11100,22.37769
11200,22.58885
11300,22.95728
11400,22.54799
11500,22.65029
11600,22.54116
11700,22.24749
11800,22.3439
11900,22.52846
12000,22.524
12100,22.7398
12200,22.72671
12300,22.85624
12400,22.71263
12500,22.95853
12600,22.70529
12700,23.0158
12800,22.93065
12900,23.04145
13000,23.02237
13100,22.90419
13200,22.56013
13300,22.60386
13400,22.75117
13500,22.6425
13600,22.24491
13700,22.21618
13800,22.56012
13900,22.77429
14000,22.60104
14100,22.33468
14200,22.43565
14300,22.82066
14400,22.15595
14500,22.42794
14600,22.19834
14700,22.21695
14800,22.95513
14900,22.80632
15000,22.65154
15100,22.5803
15200,22.73498
15300,22.70737
15400,22.85913
15500,22.91724
15600,22.79231
15700,22.91927
15800,22.90603
15900,22.81432
16000,22.77094
16100,22.85314
16200,22.74877
16300,22.81859
16400,22.4973
16500,22.68826
16600,22.78558
16700,22.75056
16800,22.88496
16900,22.85077
17000,22.93994
17100,22.84722
17200,22.93441
17300,22.75056
17400,22.88496
17500,22.85077
17600,22.75056
17700,22.88496
17800,22.85077
17900,22.93994
18000,22.88366
18100,22.98288
18200,22.83023
18300,22.95482
18400,22.90212
18500,22.99493
18600,22.83023
18700,22.95482
18800,22.90212
18900,22.83023
19000,22.95482
19100,22.83023
19200,22.95482
19300,22.90212
19400,22.99493
19500,22.96368
19600,22.9632
19700,22.99069
19800,22.91879
19900,22.8701
20000,22.85224
20100,22.90137
20200,23.00886
20300,22.96397
20400,22.87652
20500,22.99586
20600,22.87652
20700,22.99586
20800,22.94184
20900,22.98399
21000,23.01259
21100,22.97094
21200,22.971
21300,23.0008
21400,22.9728
21500,23.06454
21600,22.92653
21700,23.01848
21800,23.06158
21900,23.11883
22000,23.11063
22100,23.0823
22200,23.09741
22300,23.06863
22400,23.01627
22500,23.00962
22600,23.02588
22700,23.04682
22800,23.04983
22900,23.04174
23000,23.05375
23100,23.05436
23200,23.01554
23300,23.02649
23400,23.12543
23500,23.06558
23600,23.08914
23700,23.05965
23800,23.02609
23900,23.01775
24000,23.03571
24100,22.95205
24200,23.03875
24300,23.02146
24400,23.05873
24500,23.08269
24600,23.04483
24700,23.13162
24800,22.98824
24900,23.00399
25000,22.98143
25100,23.02256
25200,23.03653
25300,23.03641
25400,23.09512
25500,23.03958
25600,23.09468
25700,23.05477
25800,23.09745
25900,22.91787
26000,23.01199
26100,23.03856
26200,23.00222
26300,23.13291
26400,23.063
26500,23.07685
26600,23.10316
26700,23.10849
26800,23.17444
26900,23.1391
27000,23.0344
27100,23.06612
27200,23.1783
27300,23.02443
27400,23.04568
27500,23.1138
27600,23.02401
27700,23.05825
27800,23.09646
27900,23.1097
28000,22.96628
28100,23.16297
28200,23.08596
28300,23.09112
28400,23.1331
28500,22.92404
28600,23.13443
28700,23.15985
28800,23.06678
28900,22.9666
29000,23.04545
29100,23.06451
29200,22.95417
29300,23.03909
29400,23.12387
29500,23.00035
29600,23.05229
29700,23.10121
29800,23.07196
29900,23.04059
30000,23.00509
